,threshold
AdaptableSnail__avoid,0.384033203125
AdaptableSnail__submit,0.395263671875
AdaptableSnail__rear,0.4404296875
AdaptableSnail__attack,0.438232421875
AdaptableSnail__chase,0.315673828125
AdaptableSnail__chaseattack,0.383544921875
AdaptableSnail__approach,0.42822265625
BoisterousParrot__shepherd,0.364990234375
CautiousGiraffe__escape,0.54638671875
CautiousGiraffe__reciprocalsniff,0.455322265625
CautiousGiraffe__chase,0.3076171875
CautiousGiraffe__sniffall,0.46728515625
CautiousGiraffe__sniffgenital,0.420654296875
CautiousGiraffe__sniffbody,0.27734375
DeliriousFly__sniff,0.329345703125
DeliriousFly__attack,0.39794921875
DeliriousFly__dominance,0.468505859375
ElegantMink__sniff,0.41552734375
ElegantMink__attemptmount,0.40087890625
ElegantMink__allogroom,0.305908203125
ElegantMink__intromit,0.485107421875
ElegantMink__mount,0.43994140625
GroovyShrew__defend,0.182861328125
GroovyShrew__climb,0.348388671875
GroovyShrew__run,0.142822265625
GroovyShrew__selfgroom,0.369384765625
GroovyShrew__rear,0.41845703125
GroovyShrew__escape,0.2257080078125
GroovyShrew__dig,0.357421875
GroovyShrew__rest,0.396484375
GroovyShrew__attemptmount,0.472412109375
GroovyShrew__sniffall,0.417236328125
GroovyShrew__sniffgenital,0.46728515625
GroovyShrew__approach,0.35107421875
InvincibleJellyfish__allogroom,0.31982421875
InvincibleJellyfish__attack,0.447021484375
InvincibleJellyfish__dominancegroom,0.28125
InvincibleJellyfish__dig,0.3349609375
InvincibleJellyfish__sniffall,0.438232421875
InvincibleJellyfish__sniffgenital,0.43603515625
InvincibleJellyfish__selfgroom,0.319580078125
JovialSwallow__sniff,0.40673828125
JovialSwallow__attack,0.51025390625
LyricalHare__defend,0.37451171875
LyricalHare__rear,0.305419921875
LyricalHare__attack,0.47607421875
LyricalHare__escape,0.436279296875
LyricalHare__sniff,0.51953125
LyricalHare__freeze,0.357666015625
LyricalHare__approach,0.181884765625
NiftyGoldfinch__defend,0.3388671875
NiftyGoldfinch__climb,0.461669921875
NiftyGoldfinch__sniffall,0.424072265625
NiftyGoldfinch__follow,0.307373046875
NiftyGoldfinch__sniffface,0.374267578125
NiftyGoldfinch__selfgroom,0.333984375
NiftyGoldfinch__exploreobject,0.07611083984375
NiftyGoldfinch__rear,0.29833984375
NiftyGoldfinch__attack,0.439697265625
NiftyGoldfinch__flinch,0.09893798828125
NiftyGoldfinch__escape,0.41650390625
NiftyGoldfinch__dig,0.449462890625
NiftyGoldfinch__biteobject,0.07037353515625
NiftyGoldfinch__chase,0.43896484375
NiftyGoldfinch__tussle,0.3154296875
NiftyGoldfinch__sniffgenital,0.3896484375
NiftyGoldfinch__approach,0.322021484375
PleasantMeerkat__follow,0.5
ReflectiveManatee__sniff,0.47998046875
ReflectiveManatee__attack,0.479248046875
SparklingTapir__escape,0.456787109375
SparklingTapir__defend,0.35546875
SparklingTapir__attack,0.44140625
TranquilPanther__selfgroom,0.30029296875
TranquilPanther__rear,0.365234375
TranquilPanther__sniffall,0.43603515625
TranquilPanther__sniffgenital,0.4208984375
TranquilPanther__intromit,0.60205078125
TranquilPanther__mount,0.410888671875
UppityFerret__huddle,0.386962890625
UppityFerret__reciprocalsniff,0.341064453125
UppityFerret__sniffgenital,0.343994140625
pooled__intromit,0.6206
pooled__attack,0.4146
pooled__mount,0.4023
pooled__climb,0.3115
pooled__escape,0.375
pooled__sniff,0.3892
pooled__dig,0.3853
pooled__reciprocalsniff,0.3264
pooled__attemptmount,0.2937
pooled__rear,0.3481
pooled__defend,0.3315
pooled__sniffgenital,0.3127
pooled__selfgroom,0.2542
pooled__allogroom,0.238
pooled__chase,0.3015
pooled__approach,0.3647
pooled__follow,0.4004
